Marco Gribaudo|https://dblp.org/pers/hd/g/Gribaudo:Marco|
Riccardo Pinciroli|https://dblp.org/pers/hd/p/Pinciroli:Riccardo|
Kishor S. Trivedi|https://dblp.org/pers/hd/t/Trivedi:Kishor_S=|Duke University, Durham, NC, USA
Catia Trubiani|https://dblp.org/pers/hd/t/Trubiani:Catia|Gran Sasso Science Institute, L'Aquila, Italy
Muhammad Salek Ali|https://dblp.org/pers/hd/a/Ali:Muhammad_Salek|
Miguel Pincheira|https://dblp.org/pers/hd/p/Pincheira:Miguel|
Koustabh Dolui|https://dblp.org/pers/hd/d/Dolui:Koustabh|
Mubashir Husain Rehmani|https://dblp.org/pers/hd/r/Rehmani:Mubashir_Husain|
Zaffar Haider Janjua|https://dblp.org/pers/hd/j/Janjua:Zaffar_Haider|
Giovanni Perrone|https://dblp.org/pers/hd/p/Perrone:Giovanni|
Javier Del Ser|https://dblp.org/pers/hd/s/Ser:Javier_Del|
Vivart Kapoor|https://dblp.org/pers/hd/k/Kapoor:Vivart|
Daniele Pizzolli|https://dblp.org/pers/hd/p/Pizzolli:Daniele|
Giuseppe Cossu|https://dblp.org/pers/hd/c/Cossu:Giuseppe|
Daniele Santoro|https://dblp.org/pers/hd/s/Santoro:Daniele|
Luca Capra|https://dblp.org/pers/hd/c/Capra:Luca|
Corentin Dupont|https://dblp.org/pers/hd/d/Dupont:Corentin|
Dukas Charalampos|https://dblp.org/pers/hd/c/Charalampos:Dukas|
Francesco De Pellegrini|https://dblp.org/pers/hd/p/Pellegrini:Francesco_De|
Silvio Cretti|https://dblp.org/pers/hd/c/Cretti:Silvio|
Raffaele Giaffreda|https://dblp.org/pers/hd/g/Giaffreda:Raffaele|
Charalampos Doukas|https://dblp.org/pers/hd/d/Doukas:Charalampos|
Erinda Jaupaj|https://dblp.org/pers/hd/j/Jaupaj:Erinda|
Andrei Tamilin|https://dblp.org/pers/hd/t/Tamilin:Andrei|
Iacopo Carreras|https://dblp.org/pers/hd/c/Carreras:Iacopo|
Benny Mandler|https://dblp.org/pers/hd/m/Mandler:Benny|IBM
Robert Kleinfeld|https://dblp.org/pers/hd/k/Kleinfeld:Robert|
Carlos Pedrinaci|https://dblp.org/pers/hd/p/Pedrinaci:Carlos|
David Carrera 0001|https://dblp.org/pers/hd/c/Carrera_0001:David|Polytechnic University of Catalonia, Barcelona Supercomputing Center, Barcelona, Spain
Alessio Gugliotta|https://dblp.org/pers/hd/g/Gugliotta:Alessio|
Daniel Schreckling|https://dblp.org/pers/hd/s/Schreckling:Daniel|
Dave Raggett|https://dblp.org/pers/hd/r/Raggett:Dave|
Marc Pous|https://dblp.org/pers/hd/p/Pous:Marc|
Carmen Vicente Villares|https://dblp.org/pers/hd/v/Villares:Carmen_Vicente|
Vlad Trifa|https://dblp.org/pers/hd/t/Trifa:Vlad|
Simon Delaere|https://dblp.org/pers/hd/d/Delaere:Simon|
Pieter Ballon|https://dblp.org/pers/hd/b/Ballon:Pieter|
Peter Mechant|https://dblp.org/pers/hd/m/Mechant:Peter|
Giorgio Parladori|https://dblp.org/pers/hd/p/Parladori:Giorgio|
Dirk Osstyn|https://dblp.org/pers/hd/o/Osstyn:Dirk|
Merce Lopez|https://dblp.org/pers/hd/l/Lopez:Merce|
Sven Maltha|https://dblp.org/pers/hd/m/Maltha:Sven|
Makis Stamatelatos|https://dblp.org/pers/hd/s/Stamatelatos:Makis|
Ana Garcia|https://dblp.org/pers/hd/g/Garcia:Ana|
Artur Serra|https://dblp.org/pers/hd/s/Serra:Artur|
Roberto Riggio|https://dblp.org/pers/hd/r/Riggio:Roberto|
Slawomir Kuklinski|https://dblp.org/pers/hd/k/Kuklinski:Slawomir|
Tinku Rasheed|https://dblp.org/pers/hd/r/Rasheed:Tinku|CREATE-NET Research Center, Trento, Italy
David Andreatta|https://dblp.org/pers/hd/a/Andreatta:David|
David Tacconi|https://dblp.org/pers/hd/t/Tacconi:David|
Sergio Scarlatti|https://dblp.org/pers/hd/s/Scarlatti:Sergio|
Emilio Barucci|https://dblp.org/pers/hd/b/Barucci:Emilio|
Maria Elvira Mancino|https://dblp.org/pers/hd/m/Mancino:Maria_Elvira|
Manuel Jorge Cardoso|https://dblp.org/pers/hd/c/Cardoso:M=_Jorge|
Edward W. Johnston|https://dblp.org/pers/hd/j/Johnston:Edward_W=|
Mrishta Brizmohun Appayya|https://dblp.org/pers/hd/a/Appayya:Mrishta_Brizmohun|
Benoît Presles|https://dblp.org/pers/hd/p/Presles:Beno=icirc=t|
Marc Modat|https://dblp.org/pers/hd/m/Modat:Marc|
Shonit Punwani|https://dblp.org/pers/hd/p/Punwani:Shonit|
Sébastien Ourselin|https://dblp.org/pers/hd/o/Ourselin:S=eacute=bastien|
Michael Hütel|https://dblp.org/pers/hd/h/H=uuml=tel:Michael|
Jinendra Ekanayake|https://dblp.org/pers/hd/e/Ekanayake:Jinendra|
Andrew Melbourne|https://dblp.org/pers/hd/m/Melbourne:Andrew|University College London, UK
Amber L. Simpson|https://dblp.org/pers/hd/s/Simpson:Amber_L=|
Spyridon Bakas|https://dblp.org/pers/hd/b/Bakas:Spyridon|
Michel Bilello|https://dblp.org/pers/hd/b/Bilello:Michel|
Keyvan Farahani|https://dblp.org/pers/hd/f/Farahani:Keyvan|
Bram van Ginneken|https://dblp.org/pers/hd/g/Ginneken:Bram_van|
Annette Kopp-Schneider|https://dblp.org/pers/hd/k/Kopp=Schneider:Annette|
Bennett A. Landman|https://dblp.org/pers/hd/l/Landman:Bennett_A=|
Geert J. S. Litjens|https://dblp.org/pers/hd/l/Litjens:Geert_J=_S=|
Bjoern H. Menze|https://dblp.org/pers/hd/m/Menze:Bjoern_H=|TU Munich, Faculty of Computer Science
Olaf Ronneberger|https://dblp.org/pers/hd/r/Ronneberger:Olaf|University of Freiburg, Germany
Ronald M. Summers|https://dblp.org/pers/hd/s/Summers:Ronald_M=|
Patrick Bilic|https://dblp.org/pers/hd/b/Bilic:Patrick|
Patrick Ferdinand Christ|https://dblp.org/pers/hd/c/Christ:Patrick_Ferdinand|
Richard K. G. Do|https://dblp.org/pers/hd/d/Do:Richard_K=_G=|
Marc Gollub|https://dblp.org/pers/hd/g/Gollub:Marc|
Jennifer Golia-Pernicka|https://dblp.org/pers/hd/g/Golia=Pernicka:Jennifer|
Stephan Heckers|https://dblp.org/pers/hd/h/Heckers:Stephan|
William R. Jarnagin|https://dblp.org/pers/hd/j/Jarnagin:William_R=|
Maureen McHugo|https://dblp.org/pers/hd/m/McHugo:Maureen|
Sandy Napel|https://dblp.org/pers/hd/n/Napel:Sandy|
Eugene Vorontsov|https://dblp.org/pers/hd/v/Vorontsov:Eugene|
Lena Maier-Hein|https://dblp.org/pers/hd/m/Maier=Hein:Lena|
Dario Bernardo|https://dblp.org/pers/hd/b/Bernardo:Dario|
Hani Hagras|https://dblp.org/pers/hd/h/Hagras:Hani|University of Essex, Colchester, UK
Dan C. Stefanescu|https://dblp.org/pers/hd/s/Stefanescu:Dan_C=|
Guang-Zhong Yang|https://dblp.org/pers/hd/y/Yang:Guang=Zhong|Imperial College London, UK
Graziano Frosini|https://dblp.org/pers/hd/f/Frosini:Graziano|University of Pisa, Italy
Paolo Cova|https://dblp.org/pers/hd/c/Cova:Paolo|
Nicola Delmonte|https://dblp.org/pers/hd/d/Delmonte:Nicola|
Alberto Castellazzi|https://dblp.org/pers/hd/c/Castellazzi:Alberto|
Simone Cirani|https://dblp.org/pers/hd/c/Cirani:Simone|
Gianluigi Ferrari|https://dblp.org/pers/hd/f/Ferrari:Gianluigi|University of Parma, Department of Information Engineering
Paolo Medagliani|https://dblp.org/pers/hd/m/Medagliani:Paolo|
Marco Picone|https://dblp.org/pers/hd/p/Picone:Marco|
Luca Veltri|https://dblp.org/pers/hd/v/Veltri:Luca|
Mattia Ricatto|https://dblp.org/pers/hd/r/Ricatto:Mattia|
Eva Maria Novoa|https://dblp.org/pers/hd/n/Novoa:Eva_Maria|
Manolis Kellis|https://dblp.org/pers/hd/k/Kellis:Manolis|Massachusetts Institute of Technology, Cambridge, USA
Andrea Baù|https://dblp.org/pers/hd/b/Ba=ugrave=:Andrea|
Andrea Aliperti|https://dblp.org/pers/hd/a/Aliperti:Andrea|
Davide Gazzè|https://dblp.org/pers/hd/g/Gazz=egrave=:Davide|
Andrea Marchetti|https://dblp.org/pers/hd/m/Marchetti:Andrea|
Maurizio Tesconi|https://dblp.org/pers/hd/t/Tesconi:Maurizio|
Adriano Donato De Matteis|https://dblp.org/pers/hd/m/Matteis:Adriano_Donato_De|
Roger L. Wainwright|https://dblp.org/pers/hd/w/Wainwright:Roger_L=|
Juan M. Corchado|https://dblp.org/pers/hd/c/Corchado:Juan_Manuel|University of Salamanca, Spain
Jiman Hong|https://dblp.org/pers/hd/h/Hong:Jiman|
Anna Vetrano|https://dblp.org/pers/hd/v/Vetrano:Anna|
Mimma Nardelli|https://dblp.org/pers/hd/n/Nardelli:Mimma|
Luciano Tedesco|https://dblp.org/pers/hd/t/Tedesco:Luciano|
Riccardo Giannini|https://dblp.org/pers/hd/g/Giannini:Riccardo|
Jacopo Viotto|https://dblp.org/pers/hd/v/Viotto:Jacopo|
Mario G. C. A. Cimino|https://dblp.org/pers/hd/c/Cimino:Mario_G=_C=_A=|
Andrea Tomasi|https://dblp.org/pers/hd/t/Tomasi:Andrea|University of Pisa, Italy
Cosimo Antonio Prete|https://dblp.org/pers/hd/p/Prete:Cosimo_Antonio|University of Pisa, Italy
Alessandro Bardine|https://dblp.org/pers/hd/b/Bardine:Alessandro|
François Bodin|https://dblp.org/pers/hd/b/Bodin:Fran=ccedil=ois|
Thomas M. Conte|https://dblp.org/pers/hd/c/Conte:Thomas_M=|Georgia Institute of Technology, Atlanta GA, USA
Raffaele Lapadula|https://dblp.org/pers/hd/l/Lapadula:Raffaele|
Kuo-Chung Tai|https://dblp.org/pers/hd/t/Tai:Kuo=Chung|
Alberto Corbi|https://dblp.org/pers/hd/c/Corbi:Alberto|
Iratxe Lejarreta Errasti|https://dblp.org/pers/hd/e/Errasti:Iratxe_Lejarreta|
